State,City,Latitude,Longitude
Alabama,Birmingham,33.543682,-86.779633
Arizona,Phoenix,33.448376,-112.074036
Arkansas,Fort Smith,35.385803,-94.403229
California,Fresno,36.746841,-119.772591
Colorado,Colorado Springs,38.859055,-104.813499
Connecticut,Bridgeport,41.18639,-73.195557
Maryland,Washington DC,38.889805,-77.009056
Florida,Jacksonville,30.332184,-81.655647
Georgia,Atlanta,33.753746,-84.38633
Idaho,Boise,43.618881,-116.215019
Illinois,Chicago,41.881832,-87.623177
Indiana,Evansville,37.977222,-87.550552
Iowa,Des Moines,41.619549,-93.598022
Kansas,Goodland,39.356602,-101.711082
Kentucky,Lexington,38.047989,-84.50164
Louisiana,New Orleans,29.951065,-90.071533
Maine,Caribou,46.861599,-68.002495
Massachusetts,Boston,42.361145,-71.057083
Michigan,Detroit,42.331429,-83.045753
Minnesota,Duluth,46.786671,-92.100487
Mississippi,Jackson,32.298756,-90.184807
Missouri,Kansas City,39.099724,-94.578331
Montana,Billings,45.787636,-108.489304
Nebraska,Lincoln,40.806862,-96.681679
Nevada,Reno,39.530895,-119.814972
New Hampshire,Concord,43.2081366,-71.5375718
New Jersey,Atlantic City,39.370121,-74.438942
New Mexico,Albuquerque,35.106766,-106.629181
New York,Albany,42.65258,-73.756233
North Carolina,Asheville,35.596588,-82.554901
North Dakota,Bismarck,46.825905,-100.778275
Ohio,Akron Canton,41.081757,-81.511452
Oklahoma,Oklahoma City,35.481918,-97.508469
Oregon,Eugene,44.052071,-123.086754
Pennsylvania,Allentown,40.610306,-75.477104
Rhode Island,Rhode Island,41.825226,-71.418884
South Carolina,Charleston,32.776566,-79.930923
South Dakota,Rapid City,44.080544,-103.231018
Tennessee,Chattanooga,35.045631,-85.309677
Texas,Abilene,32.448734,-99.733147
Utah,Salt Lake City,40.758701,-111.876183
Vermont,Burlington,44.475883,-73.212074
Virginia,Norfolk,36.850769,-76.285873
Washington,Seattle,47.608013,-122.335167
West Virginia,Charleston,38.349819,-81.632622
Wisconsin,Green Bay,44.513332,-88.015831
Wyoming,Casper,42.850087,-106.325203
